email_body,label
"Congratulations! You've been selected for a free vacation package. Claim your reward now: http://fraudulentlink.com",1
"Can you send me the updated report by end of the day? Thanks!",0
"URGENT: Your PayPal account has been restricted. Verify your details here: http://scamlink.com",1
"Reminder: Team lunch scheduled for Friday at noon. Let me know if you can make it.",0
"Final notice: Your subscription is about to expire. Renew now to avoid losing access: http://phishingscam.com",1
"Great job on the presentation today! Looking forward to working on the next steps.",0
"Your Amazon package has been delayed. Track your order here: http://fakeamazontracking.com",1
"Quick question—what’s the deadline for submitting our proposal?",0
"Action required: Unusual activity detected in your banking account. Secure it here: http://fakebank.com",1
"Thanks for your help on the project! Really appreciate your input.",0
"Claim your free Bitcoin now! Limited time offer: http://bitcoingiveaway.com",1
"Meeting rescheduled to 3 PM instead of 2 PM. Hope that works for you!",0
"You've received a digital gift card! Redeem it here: http://fraudsite.com",1
"Looking forward to our catch-up call next week. Let me know if we need to reschedule.",0
"Warning: Your email storage is full. Click here to upgrade: http://fakeemailprovider.com",1
"Happy Birthday! Hope you have a fantastic day!",0